epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5353,1.55805,3.13593,1.25805,0.46822,0.93035,0.47474,0.32139,nan,nan,nan,0.00055323,0.00055323,0.00055323
2,25.1047,1.10866,1.2486,1.01913,0.42613,0.98113,0.42379,0.28667,nan,nan,nan,0.00109792,0.00109792,0.00109792
3,37.0803,1.01319,0.96657,0.96303,0.77311,0.90566,0.90737,0.64426,nan,nan,nan,0.0016316,0.0016316,0.0016316
4,49.1155,1.03987,0.94236,0.97109,0.96284,0.97794,0.97949,0.6978,nan,nan,nan,0.00161749,0.00161749,0.00161749
5,61.0778,0.96304,0.80975,0.95916,0.97845,0.98113,0.98637,0.74176,nan,nan,nan,0.00160099,0.00160099,0.00160099
6,73.013,0.94985,0.78416,0.94345,0.94059,1,0.98493,0.73283,nan,nan,nan,0.00158448,0.00158448,0.00158448
7,85.3285,0.97839,0.77012,0.97004,0.98144,0.99749,0.98574,0.72601,nan,nan,nan,0.00156798,0.00156798,0.00156798
8,97.6183,0.90705,0.71631,0.94007,0.98141,0.9963,0.98741,0.74532,nan,nan,nan,0.00155148,0.00155148,0.00155148
9,109.711,0.94231,0.69348,0.94801,0.97727,0.98113,0.9881,0.73689,nan,nan,nan,0.00153497,0.00153497,0.00153497
10,121.722,0.90418,0.64734,0.95518,0.96219,1,0.97705,0.73432,nan,nan,nan,0.00151847,0.00151847,0.00151847
11,133.716,0.86698,0.67094,0.91641,0.97856,0.98113,0.99067,0.79747,nan,nan,nan,0.00150197,0.00150197,0.00150197
12,145.759,0.90656,0.65588,0.95034,0.96218,1,0.9886,0.73009,nan,nan,nan,0.00148546,0.00148546,0.00148546
13,157.86,0.86234,0.61225,0.92239,0.98143,0.99696,0.98704,0.74099,nan,nan,nan,0.00146896,0.00146896,0.00146896
14,169.991,0.93054,0.69133,0.97724,0.92459,1,0.96586,0.73027,nan,nan,nan,0.00145246,0.00145246,0.00145246
15,182.216,0.86602,0.59122,0.92375,0.96163,1,0.9773,0.73289,nan,nan,nan,0.00143595,0.00143595,0.00143595
16,194.435,0.85097,0.58583,0.92274,0.96201,1,0.97066,0.7036,nan,nan,nan,0.00141945,0.00141945,0.00141945
17,206.522,0.85395,0.5791,0.90774,0.96812,1,0.99056,0.7203,nan,nan,nan,0.00140295,0.00140295,0.00140295
18,219.093,0.8539,0.58701,0.92805,0.95708,1,0.98828,0.7765,nan,nan,nan,0.00138644,0.00138644,0.00138644
19,231.435,0.86745,0.55073,0.92262,0.96171,1,0.97209,0.74343,nan,nan,nan,0.00136994,0.00136994,0.00136994
20,243.72,0.86245,0.58583,0.92021,0.96208,1,0.97145,0.73154,nan,nan,nan,0.00135344,0.00135344,0.00135344
21,256.027,0.82291,0.53093,0.91363,0.9614,1,0.98954,0.76231,nan,nan,nan,0.00133693,0.00133693,0.00133693
